SUBNUM,SITENUM,SITENAME,AGE,SEX,REPLICATION,PRIME,PRIMENAME,SPIRITSREAL,SLP1DTH0,SLPDEATH,QNUM,PSYCHPHYS,QLABEL,QUESTION,RESPONSE,DISCONTINUITY
1,2,Shuar,25,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
2,2,Shuar,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
3,2,Shuar,44,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
4,2,Shuar,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
5,2,Shuar,25,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
6,2,Shuar,30,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
7,2,Shuar,17,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
8,2,Shuar,33,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
9,2,Shuar,19,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
10,2,Shuar,23,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
11,2,Shuar,17,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
12,2,Shuar,34,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
13,2,Shuar,17,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
14,2,Shuar,20,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
15,2,Shuar,32,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
16,2,Shuar,39,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
17,2,Shuar,16,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
18,2,Shuar,50,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
19,2,Shuar,58,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
20,2,Shuar,20,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
21,2,Shuar,39,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
22,2,Shuar,17,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
23,2,Shuar,42,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
24,2,Shuar,31,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
25,2,Shuar,39,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
26,2,Shuar,34,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
27,2,Shuar,50,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
28,2,Shuar,16,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
29,2,Shuar,16,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
30,2,Shuar,13,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
31,2,Shuar,23,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
32,2,Shuar,14,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
33,2,Shuar,14,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
34,2,Shuar,15,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
35,2,Shuar,46,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
36,1,Marajó Islanders,31,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
37,1,Marajó Islanders,45,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
38,1,Marajó Islanders,17,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
39,1,Marajó Islanders,49,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
40,1,Marajó Islanders,30,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
41,1,Marajó Islanders,39,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
42,1,Marajó Islanders,31,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
43,1,Marajó Islanders,22,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
44,1,Marajó Islanders,23,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
45,1,Marajó Islanders,55,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
46,1,Marajó Islanders,31,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
47,1,Marajó Islanders,27,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
48,1,Marajó Islanders,29,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
49,1,Marajó Islanders,35,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
50,1,Marajó Islanders,69,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
51,1,Marajó Islanders,20,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
52,1,Marajó Islanders,32,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
53,1,Marajó Islanders,34,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
54,1,Marajó Islanders,33,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
55,1,Marajó Islanders,25,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
56,1,Marajó Islanders,23,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
57,1,Marajó Islanders,24,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
58,1,Marajó Islanders,44,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
59,1,Marajó Islanders,22,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
60,1,Marajó Islanders,27,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
61,1,Marajó Islanders,20,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
62,1,Marajó Islanders,27,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
63,1,Marajó Islanders,18,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
64,1,Marajó Islanders,28,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
65,1,Marajó Islanders,22,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
66,1,Marajó Islanders,23,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
67,1,Marajó Islanders,34,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
68,1,Marajó Islanders,15,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
69,1,Marajó Islanders,26,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
70,1,Marajó Islanders,30,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
71,1,Marajó Islanders,29,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
72,1,Marajó Islanders,27,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
73,1,Marajó Islanders,55,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
74,1,Marajó Islanders,34,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,1,0
75,1,Marajó Islanders,31,1,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,1,0
76,1,Marajó Islanders,66,0,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
77,1,Marajó Islanders,23,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
78,1,Marajó Islanders,26,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
79,1,Marajó Islanders,17,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
80,1,Marajó Islanders,27,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
81,1,Marajó Islanders,26,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
82,1,Marajó Islanders,15,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
83,1,Marajó Islanders,25,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
84,1,Marajó Islanders,20,1,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,1,0
85,1,Marajó Islanders,18,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
86,1,Marajó Islanders,23,0,0,1,Spirit prime,1,1,Sleep,1,Physiological,SNOISE,Noise,0,1
87,1,Marajó Islanders,28,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
88,1,Marajó Islanders,21,0,0,1,Spirit prime,0,1,Sleep,1,Physiological,SNOISE,Noise,0,1
89,1,Marajó Islanders,14,1,0,0,No prime,NA,1,Sleep,1,Physiological,SNOISE,Noise,0,1
