"subject","cntr","country","R_attendance","R_prayer","R_religiousID","R_member","R_denomination","R_denominationText","R_god","R_afterlife","R_NormsSelfRelLife","R_NormsSelfGod","religiosity.s","religiosity","culturalNorms","norms","norms_z","condition","hunger","hearing","brains","knowledge","love","desire","check_condition","RT_text","RT_response","self_rating","Age","Gender","Education","SES","Ethnicity","EthnicityText","Recruitment","Sample","Compensation","Language"
1,"AUS","Australia",0,0,0.5,0,NA,NA,0.5,0.5,0,0.5,-0.285324265202608,0.285714285714286,0.5,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,21.797,48.552,6,41,"man",4,4,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
2,"AUS","Australia",0.833333333333333,0.714285714285714,1,1,"Christian (Roman Catholic)",NA,0.5,0.333333333333333,0.5,0.25,0.611813172036723,0.590136054421769,0.25,0.455723542116631,0.221678153568798,"Religious",0,1,1,1,1,1,1,108.887,21.322,4,31,"man",5,6,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
3,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.166666666666667,0,0,-0.78718355739644,0.0952380952380952,0.25,0.455723542116631,0.221678153568798,"Secular",0,0,0,1,1,0,1,23.515,22.761,4,26,"woman",5,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
4,"AUS","Australia",0,0,0,0,NA,NA,0,0.333333333333333,0,0,-0.91230177694866,0.0476190476190476,0.5,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,54.716,30.576,1,21,"man",5,5,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
5,"AUS","Australia",0.5,0,0.5,1,"Buddhist",NA,0,1,0.25,0,-0.138606903402103,0.321428571428571,0.5,0.455723542116631,0.221678153568798,"Religious",1,1,1,1,1,1,1,56.404,33.83,7,28,"woman",5,4,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
6,"AUS","Australia",0,0,0.5,0,NA,NA,0.166666666666667,0.5,0,0,-0.599253206840446,0.166666666666667,0.25,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,0,1,71.118,33.076,4,49,"man",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
7,"AUS","Australia",0,0,0,0,NA,NA,0,0.5,0,0,-0.849230402109933,0.0714285714285714,0.375,0.455723542116631,0.221678153568798,"Secular",0,0,0,1,1,0,1,25.244,18.087,4,23,"woman",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
8,"AUS","Australia",0,0.142857142857143,0,0,NA,NA,0.333333333333333,0,0,0,-0.859968901589381,0.0680272108843537,0,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,15.83,16.561,1,23,"woman",2,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
9,"AUS","Australia",0,0,0,0,NA,NA,0.166666666666667,0.333333333333333,0,0,-0.85051417607012,0.0714285714285714,0,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,3.373,18.574,3,18,"woman",4,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
10,"AUS","Australia",0.833333333333333,0.714285714285714,0.5,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.5,0.706730798142149,0.625850340136054,0.5,0.455723542116631,0.221678153568798,"Religious",0,0,0,1,0,0,1,1.323,65.321,3,22,"man",5,5,"South Asian",NA,"TurkPrime","online panel","monetary reward","English"
11,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.166666666666667,0,0,-0.78718355739644,0.0952380952380952,0.5,0.455723542116631,0.221678153568798,"Secular",0,0,0,1,1,0,1,39.393,20.515,4,20,"woman",4,7,"Mixed / other","indian & European","TurkPrime","online panel","monetary reward","English"
12,"AUS","Australia",0,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.5,0.581092873951825,0.598639455782313,0.25,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,1,78.001,27.016,3,42,"woman",3,6,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
13,"AUS","Australia",0.5,0.428571428571429,0,1,"Muslim",NA,0.166666666666667,0,0.25,0,-0.47873587610791,0.192176870748299,0,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,0,51.371,47.679,3,18,"woman",5,7,"Middle-Eastern/Arab",NA,"TurkPrime","online panel","monetary reward","English"
14,"AUS","Australia",0.166666666666667,0,1,1,"Buddhist",NA,0.166666666666667,1,0.5,0,0.0758621298071599,0.404761904761905,0.25,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,35.771,28.057,3,26,"woman",5,5,"South Asian",NA,"TurkPrime","online panel","monetary reward","English"
15,"AUS","Australia",0,0,0.5,0,NA,NA,0,0,0,0,-0.850254932235167,0.0714285714285714,0.5,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,30.342,25.911,1,36,"woman",3,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
16,"AUS","Australia",0.5,0.571428571428571,0.5,0,NA,NA,0.666666666666667,0.5,0.5,0.5,0.441267823279397,0.534013605442177,0.5,0.455723542116631,0.221678153568798,"Secular",0,0,0,1,1,1,1,31.23,63.2,5,30,"woman",5,6,"I would rather not say",NA,"TurkPrime","online panel","monetary reward","English"
17,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.666666666666667,0,0,-0.597969432880259,0.166666666666667,0,0.455723542116631,0.221678153568798,"Secular",1,0,0,1,1,1,1,18.405,75.04,2,31,"man",4,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
18,"AUS","Australia",1,1,1,1,"Muslim",NA,1,1,1,1,1.74250454814817,1,1,0.455723542116631,0.221678153568798,"Secular",0,0,0,1,1,1,1,30.412,40.051,1,47,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
19,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,1,0,1,60.831,56.432,1,20,"man",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
20,"AUS","Australia",0,0.285714285714286,0,0,NA,NA,0.5,1,0.25,0,-0.252869613714678,0.290816326530612,0,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,31.529,34.536,4,33,"woman",3,5,"Pacific Islander",NA,"TurkPrime","online panel","monetary reward","English"
21,"AUS","Australia",0.166666666666667,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,1,0.333333333333333,0.5,0.75,0.747447784344014,0.658163265306122,0.75,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,47.063,34.268,5,45,"man",7,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
22,"AUS","Australia",0.166666666666667,1,1,1,"Muslim",NA,1,0.666666666666667,1,1,1.2476338566098,0.833333333333333,0.375,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,42.657,52.627,2,37,"woman",3,7,"African",NA,"TurkPrime","online panel","monetary reward","English"
23,"AUS","Australia",0.666666666666667,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,1,1,0.5,1,1.31614691875586,0.860544217687075,0.75,0.455723542116631,0.221678153568798,"Secular",1,0,0,0,0,0,1,40.256,55.188,6,45,"man",7,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
24,"AUS","Australia",0.833333333333333,0.714285714285714,1,0,NA,NA,1,1,0.75,0.75,1.35179822859216,0.863945578231292,0.75,0.455723542116631,0.221678153568798,"Religious",1,1,1,1,1,1,1,57.162,63.896,1,48,"man",5,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
25,"AUS","Australia",0,0,0,0,NA,NA,0,0.166666666666667,0,0,-0.975373151787387,0.0238095238095238,0.375,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,1,1,1,30.541,59.174,4,23,"woman",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
26,"AUS","Australia",0,0.857142857142857,0,0,NA,NA,1,1,0.75,1,0.756768391169369,0.658163265306122,1,0.455723542116631,0.221678153568798,"Religious",0,0,1,1,0,0,0,1.425,28.835,5,22,"man",3,7,"African",NA,"TurkPrime","online panel","monetary reward","English"
27,"AUS","Australia",0,0.142857142857143,0.5,1,"Other:","Pentacostal",1,1,0.5,0.5,0.368119114597139,0.520408163265306,0.25,0.455723542116631,0.221678153568798,"Secular",1,1,0,1,1,1,1,14.312,15.437,2,49,"man",2,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
28,"AUS","Australia",0.166666666666667,0.714285714285714,0.5,0,NA,NA,1,1,0,1,0.627854106600408,0.625850340136054,0.5,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,1,21.808,43.727,3,50,"woman",4,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
29,"AUS","Australia",0.833333333333333,0.714285714285714,0.5,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.75,0.801907668082528,0.66156462585034,0.5,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,25.201,14.537,1,47,"man",7,8,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
30,"AUS","Australia",0.833333333333333,1,0.5,1,"Christian (Protestant)",NA,1,0.333333333333333,0.5,0.75,0.909140966721462,0.702380952380952,0.625,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,71.587,20.359,7,35,"man",5,7,"Indigenous",NA,"TurkPrime","online panel","monetary reward","English"
31,"AUS","Australia",0,0,0,0,NA,NA,0,0,0.25,0.25,-0.831284642001588,0.0714285714285714,0.25,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,52.142,28.347,1,19,"woman",2,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
32,"AUS","Australia",0.833333333333333,0.857142857142857,1,0,NA,NA,1,1,0.75,0.75,1.40669865187181,0.884353741496599,0.75,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,0,153.857,20.736,2,46,"woman",5,8,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
33,"AUS","Australia",0,0.142857142857143,0.5,0,NA,NA,0.166666666666667,0.666666666666667,0,0,-0.481281408722065,0.210884353741497,0.25,0.455723542116631,0.221678153568798,"Religious",0,0,0,1,1,1,1,25.715,19.018,4,18,"man",3,7,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
34,"AUS","Australia",0.833333333333333,0.857142857142857,1,1,"Christian (Roman Catholic)",NA,1,0.833333333333333,0.75,1,1.43880414697346,0.896258503401361,0.625,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,20.048,45.174,3,39,"woman",6,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
35,"AUS","Australia",0.666666666666667,0.714285714285714,1,0,NA,NA,0.833333333333333,0.5,0.5,0.25,0.724714160260344,0.637755102040816,0.75,0.455723542116631,0.221678153568798,"Secular",0,1,0,1,1,1,1,21.502,13.8,3,32,"man",5,8,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
36,"AUS","Australia",0,0,0.5,0,NA,NA,0,1,0,0,-0.471826683202805,0.214285714285714,0,0.455723542116631,0.221678153568798,"Secular",0,0,0,1,1,1,1,39.624,29.011,1,52,"woman",2,2,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
37,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,1,0.455723542116631,0.221678153568798,"Secular",0,0,0,0,0,0,1,18.406,14.703,1,43,"woman",2,2,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
38,"AUS","Australia",1,1,1,1,"Christian (Orthodox - Russian/Greek/etc.)",NA,1,0.833333333333333,1,1,1.67943317330945,0.976190476190476,1,0.455723542116631,0.221678153568798,"Religious",1,1,1,1,1,1,1,82.831,53.29,5,30,"man",5,10,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
39,"AUS","Australia",0,0.142857142857143,1,1,"Christian (Roman Catholic)",NA,1,0.666666666666667,0.25,0.75,0.413359814566865,0.54421768707483,0.625,0.455723542116631,0.221678153568798,"Religious",0,1,0,1,1,1,1,53.141,70.192,3,47,"woman",2,1,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
40,"AUS","Australia",0,0,0,0,NA,NA,0,0,0,0,-1.03844452662611,0,0,0.455723542116631,0.221678153568798,"Religious",0,0,0,0,0,0,1,14.223,37.861,1,35,"man",4,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
